HYDROSTATIC TABLE – BG ARK CARNELIAN
Condition: NO TRIM, NO HEEL, VCG = 0.000


Draft (m) | DISP (MT) | LCB (m) | VCB (m) | TPC | LCF (m) | deg trim

0.500 | 894.77   | 47.171 | 0.255 | 18.69 | 47.315 | 15479
0.550 | 988.53   | 47.186 | 0.281 | 18.83 | 47.311 | 15714
0.600 | 1083.03  | 47.198 | 0.307 | 18.98 | 47.323 | 15960
0.650 | 1178.16  | 47.209 | 0.333 | 19.08 | 47.350 | 16186
0.700 | 1273.65  | 47.221 | 0.358 | 19.15 | 47.413 | 16385
0.750 | 1369.61  | 47.234 | 0.384 | 19.25 | 47.464 | 16626
0.800 | 1465.98  | 47.249 | 0.410 | 19.33 | 47.528 | 16889
0.850 | 1562.73  | 47.262 | 0.436 | 19.41 | 47.514 | 17051
0.900 | 1659.80  | 47.273 | 0.461 | 19.47 | 47.498 | 17215
0.950 | 1757.18  | 47.283 | 0.487 | 19.53 | 47.479 | 17377
1.000 | 1854.88  | 47.293 | 0.513 | 19.59 | 47.454 | 17538
1.050 | 1952.88  | 47.297 | 0.539 | 19.65 | 47.436 | 17702
1.100 | 2051.19  | 47.303 | 0.565 | 19.71 | 47.414 | 17869
1.150 | 2149.82  | 47.305 | 0.590 | 19.62 | 47.095 | 17632
1.200 | 2248.17  | 47.298 | 0.616 | 19.70 | 47.102 | 17843
1.250 | 2346.78  | 47.289 | 0.642 | 19.75 | 47.054 | 17997
1.300 | 2445.67  | 47.280 | 0.667 | 19.81 | 47.032 | 18152
1.350 | 2544.82  | 47.270 | 0.693 | 19.85 | 47.029 | 18278
1.400 | 2644.22  | 47.260 | 0.719 | 19.91 | 47.008 | 18438
1.450 | 2743.90  | 47.251 | 0.745 | 19.97 | 46.987 | 18600
1.500 | 2843.86  | 47.241 | 0.770 | 20.03 | 46.959 | 18770
1.550 | 2944.31  | 47.231 | 0.795 | 20.09 | 46.955 | 18947
1.600 | 3044.66  | 47.221 | 0.821 | 20.15 | 46.945 | 19133
1.650 | 3145.51  | 47.211 | 0.848 | 20.22 | 46.938 | 19327
1.700 | 3246.64  | 47.201 | 0.873 | 20.27 | 46.895 | 19471
1.750 | 3348.02  | 47.190 | 0.899 | 20.31 | 46.851 | 19617
1.800 | 3449.64  | 47.179 | 0.925 | 20.36 | 46.807 | 19765
1.850 | 3551.51  | 47.167 | 0.951 | 20.42 | 46.762 | 19915
1.900 | 3653.64  | 47.154 | 0.977 | 20.47 | 46.717 | 20071
1.950 | 3756.01  | 47.141 | 1.003 | 20.52 | 46.673 | 20226
2.000 | 3858.64  | 47.129 | 1.029 | 20.57 | 46.634 | 20376
2.050 | 3961.48  | 47.115 | 1.055 | 20.60 | 46.620 | 20493
2.100 | 4064.57  | 47.101 | 1.081 | 20.65 | 46.583 | 20645
2.150 | 4167.90  | 47.087 | 1.107 | 20.70 | 46.539 | 20785
2.200 | 4271.46  | 47.073 | 1.133 | 20.74 | 46.493 | 20928
2.250 | 4375.27  | 47.058 | 1.159 | 20.79 | 46.447 | 21072
2.300 | 4479.31  | 47.043 | 1.185 | 20.84 | 46.400 | 21217
2.350 | 4583.59  | 47.029 | 1.211 | 20.88 | 46.352 | 21364
2.400 | 4688.12  | 47.013 | 1.237 | 20.93 | 46.304 | 21512
2.450 | 4792.89  | 46.997 | 1.262 | 20.98 | 46.055 | 21349
2.500 | 4896.89  | 46.972 | 1.288 | 20.93 | 46.006 | 21502
2.550 | 5001.63  | 46.951 | 1.314 | 20.98 | 45.958 | 21559
2.600 | 5106.61  | 46.930 | 1.340 | 21.03 | 45.909 | 21920
2.650 | 5211.83  | 46.910 | 1.366 | 21.07 | 45.867 | 21977
2.700 | 5317.27  | 46.889 | 1.392 | 21.11 | 45.832 | 22100
2.750 | 5422.93  | 46.868 | 1.418 | 21.16 | 45.815 | 22260
2.800 | 5528.84  | 46.846 | 1.444 | 21.21 | 45.780 | 22425
2.850 | 5634.98  | 46.827 | 1.470 | 21.25 | 45.727 | 22563
2.900 | 5741.32  | 46.806 | 1.497 | 21.29 | 45.674 | 22704
2.950 | 5847.89  | 46.785 | 1.523 | 21.34 | 45.621 | 22846
3.000 | 5954.66 | 46.763 | 1.549 | 21.38 | 45.568 | 22991
3.050 | 6061.65 | 46.708 | 1.575 | 21.42 | 45.514 | 23139
3.100 | 6168.86 | 46.652 | 1.601 | 21.47 | 45.454 | 23279
3.150 | 6276.27 | 46.596 | 1.627 | 21.51 | 45.393 | 23422
3.200 | 6383.89 | 46.541 | 1.653 | 21.55 | 45.332 | 23566
3.250 | 6491.73 | 46.485 | 1.679 | 21.59 | 45.269 | 23713
3.300 | 6599.78 | 46.429 | 1.705 | 21.64 | 45.209 | 23856
3.350 | 6703.02 | 46.373 | 1.731 | 21.66 | 45.175 | 23958
3.400 | 6815.44 | 46.318 | 1.757 | 21.70 | 45.120 | 24095
3.450 | 6925.07 | 46.262 | 1.783 | 21.74 | 45.054 | 24234
3.500 | 7033.90 | 46.207 | 1.809 | 21.78 | 45.008 | 24373
3.550 | 7142.93 | 46.151 | 1.835 | 21.82 | 44.951 | 24515
3.600 | 7252.17 | 46.096 | 1.861 | 21.86 | 44.883 | 24657
3.650 | 7361.62 | 46.040 | 1.887 | 21.91 | 44.835 | 24802
3.700 | 7471.28 | 45.985 | 1.913 | 21.95 | 44.777 | 24948
3.750 | 7581.14 | 45.929 | 1.939 | 21.99 | 44.718 | 25097
3.800 | 7691.22 | 45.874 | 1.965 | 22.03 | 44.657 | 25247
3.850 | 7801.51 | 45.818 | 1.991 | 22.07 | 44.596 | 25399
3.900 | 7912.02 | 45.763 | 2.017 | 22.12 | 44.535 | 25554
3.950 | 8022.73 | 45.707 | 2.043 | 22.16 | 44.473 | 25709
4.000 | 8133.65 | 45.652 | 2.069 | 22.20 | 44.416 | 25856
4.050 | 8244.68 | 45.596 | 2.095 | 22.19 | 44.449 | 25951
4.100 | 8355.75 | 45.541 | 2.121 | 22.20 | 44.460 | 25883
4.150 | 8466.85 | 45.485 | 2.147 | 22.21 | 44.470 | 25916
4.200 | 8577.95 | 45.430 | 2.173 | 22.21 | 44.481 | 25949
4.250 | 8689.17 | 45.374 | 2.199 | 22.22 | 44.491 | 25982
4.300 | 8800.40 | 45.319 | 2.225 | 22.23 | 44.502 | 26015
4.350 | 8911.67 | 45.263 | 2.251 | 22.24 | 44.512 | 26050
4.400 | 9022.97 | 45.208 | 2.277 | 22.24 | 44.523 | 26083
4.450 | 9134.32 | 45.152 | 2.303 | 22.25 | 44.534 | 26118
4.500 | 9245.71 | 45.097 | 2.329 | 22.25 | 44.545 | 26152
4.550 | 9357.15 | 45.041 | 2.355 | 22.26 | 44.555 | 26186
4.600 | 9463.63 | 44.986 | 2.381 | 22.20 | 44.420 | 25957
4.650 | 9579.75 | 45.030 | 2.407 | 22.22 | 44.466 | 26051
4.700 | 9690.86 | 45.030 | 2.433 | 22.22 | 44.466 | 26060
4.750 | 9801.99 | 45.030 | 2.459 | 22.22 | 44.466 | 26069
4.800 | 9913.10 | 45.030 | 2.485 | 22.22 | 44.466 | 26079
4.850 | 10024.22 | 45.030 | 2.511 | 22.22 | 44.466 | 26088
4.900 | 10135.34 | 45.030 | 2.537 | 22.22 | 44.466 | 26097
4.950 | 10246.45 | 45.030 | 2.563 | 22.22 | 44.466 | 26107
5.000 | 10357.59 | 45.030 | 2.589 | 22.22 | 44.466 | 26117
